Step,AgentID,FirmType,Profit
1,1,,
1,2,necessity,0.0
1,3,necessity,0.0
1,4,necessity,0.0
1,5,necessity,0.0
1,6,necessity,0.0
1,7,necessity,0.0
1,8,necessity,0.0
1,9,necessity,0.0
1,10,necessity,0.0
1,11,necessity,0.0
1,12,necessity,0.0
1,13,necessity,0.0
1,14,necessity,0.0
1,15,necessity,0.0
1,16,necessity,0.0
1,17,necessity,0.0
1,18,necessity,0.0
1,19,necessity,0.0
1,20,necessity,0.0
1,21,necessity,0.0
1,22,necessity,0.0
1,23,necessity,0.0
1,24,necessity,0.0
1,25,necessity,0.0
1,26,necessity,0.0
1,27,necessity,0.0
1,28,necessity,0.0
1,29,necessity,0.0
1,30,necessity,0.0
1,31,necessity,0.0
1,32,luxury,0.0
1,33,luxury,0.0
1,34,luxury,0.0
1,35,luxury,0.0
1,36,luxury,0.0
1,37,luxury,0.0
1,38,luxury,0.0
1,39,luxury,0.0
1,40,luxury,0.0
1,41,luxury,0.0
1,42,luxury,0.0
1,43,luxury,0.0
1,44,luxury,0.0
1,45,luxury,0.0
1,46,luxury,0.0
1,47,luxury,0.0
1,48,luxury,0.0
1,49,luxury,0.0
1,50,luxury,0.0
1,51,luxury,0.0
2,1,,
2,2,necessity,-2587614.2351366025
2,3,necessity,-1670115.8555920008
2,4,necessity,-2737228.1630376647
2,5,necessity,-2566240.3932168535
2,6,necessity,-1742621.9478365856
2,7,necessity,-1886568.0717365614
2,8,necessity,-2982527.965499143
2,9,necessity,-3113376.9632133506
2,10,necessity,-2545312.073853481
2,11,necessity,-2669020.838779224
2,12,necessity,-1892934.618828794
2,13,necessity,-1960087.8733587456
2,14,necessity,-2365979.7149829497
2,15,necessity,-1577590.1448730086
2,16,necessity,-2814636.213296743
2,17,necessity,-1412940.359705241
2,18,necessity,-2373215.8818396423
2,19,necessity,-2450591.2212768425
2,20,necessity,-2464674.6582909087
2,21,necessity,-2555518.834052981
2,22,necessity,-1838273.0511437699
2,23,necessity,-2602143.222473544
2,24,necessity,-2281192.1017002054
2,25,necessity,-2544903.9188821
2,26,necessity,-1554092.117069628
2,27,necessity,-3095512.0073727537
2,28,necessity,-3002655.8352690227
2,29,necessity,-1399067.6371042784
2,30,necessity,-2077363.7067047702
2,31,necessity,-1996267.5007129838
2,32,luxury,-634613.11829268
2,33,luxury,-2614361.3144704183
2,34,luxury,-1133740.6720650485
2,35,luxury,-1420650.3365108117
2,36,luxury,-1997843.013612572
2,37,luxury,-769332.9851485752
2,38,luxury,-2123693.5904711545
2,39,luxury,-842370.842414981
2,40,luxury,-846018.5905717966
2,41,luxury,-1631105.4808091654
2,42,luxury,-1242056.125615161
2,43,luxury,-1388253.024586664
2,44,luxury,-1555879.9218484976
2,45,luxury,-716616.3332065848
2,46,luxury,-1462617.7326116525
2,47,luxury,-984322.473844515
2,48,luxury,-1367019.9208528597
2,49,luxury,-1822987.540742347
2,50,luxury,-1751939.3295969977
2,51,luxury,-1135148.4133811793
3,1,,
3,2,necessity,-2587614.2351366025
3,3,necessity,-1670115.8555920008
3,4,necessity,-2737228.1630376647
3,5,necessity,-2566240.3932168535
3,6,necessity,-1742621.9478365856
3,7,necessity,-1886568.0717365614
3,8,necessity,-2982527.965499143
3,9,necessity,-3113376.9632133506
3,10,necessity,-2545312.073853481
3,11,necessity,-2669020.838779224
3,12,necessity,-1892934.618828794
3,13,necessity,-1960087.8733587456
3,14,necessity,-2365979.7149829497
3,15,necessity,-1577590.1448730086
3,16,necessity,-2814636.213296743
3,17,necessity,-1412940.359705241
3,18,necessity,-2373215.8818396423
3,19,necessity,-2450591.2212768425
3,20,necessity,-2464674.6582909087
3,21,necessity,-2555518.834052981
3,22,necessity,-1838273.0511437699
3,23,necessity,-2602143.222473544
3,24,necessity,-2281192.1017002054
3,25,necessity,-2544903.9188821
3,26,necessity,-1554092.117069628
3,27,necessity,-3095512.0073727537
3,28,necessity,-3002655.8352690227
3,29,necessity,-1399067.6371042784
3,30,necessity,-2077363.7067047702
3,31,necessity,-1996267.5007129838
3,32,luxury,-634613.11829268
3,33,luxury,-2614361.3144704183
3,34,luxury,-1133740.6720650485
3,35,luxury,-1420650.3365108117
3,36,luxury,-1997843.013612572
3,37,luxury,-769332.9851485752
3,38,luxury,-2123693.5904711545
3,39,luxury,-842370.842414981
3,40,luxury,-846018.5905717966
3,41,luxury,-1631105.4808091654
3,42,luxury,-1242056.125615161
3,43,luxury,-1388253.024586664
3,44,luxury,-1555879.9218484976
3,45,luxury,-716616.3332065848
3,46,luxury,-1462617.7326116525
3,47,luxury,-984322.473844515
3,48,luxury,-1367019.9208528597
3,49,luxury,-1822987.540742347
3,50,luxury,-1751939.3295969977
3,51,luxury,-1135148.4133811793
